,Unnamed: 0,pid,hid,cid,syear,jl0058,jl0059_h,jl0061,jl0062,jl0063,jl0064,jl0065,jl0066,jl0067,jl0068,jl0069,jl0070,jl0071,jl0072,jl0073,jl0074,jl0105_h,jl0125_v3,jl0127_h,jl0139,jl0140,jl0141,jl0142,jl0143,jl0144,jl0145,jl0146,jl0151,jl0164,jl0176_h,jl0218,jl0219,jl0233,jl0272,trust,rely_none,distrust_stranger,jl0367,jl0371,jl0376,jl0379,jl0388,jl0392,sex,gebjahr,psample,migback,State,bet3year,fsedu,msedu,fprofedu,mprofedu,freli,mreli,fegp88,living1,mprofstat,Age,Gymnasium,year_hgsch_entry,Treat,rely_someone,trust_stranger,trust_var,std_trust_var,std_trust
5594,5594,20143002,2014303.0,2014303,2012.0,[1] Taeglich,[1] Taeglich,[1] Taeglich,[4] Seltener,[2] Jede Woche,[3] Jeden Monat,[2] Jede Woche,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,176.0,1995.0,[4] Auf dem Land,4,4,7,"[7] 7 Trifft voll zu, (Skala 1-7)",[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[5] 5 auf Skala 1-7,[1] Sehr stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1995.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[3] Niedersachsen,,[2] Realschule,[4] Abitur,[20] beruflicheAusbildung,[-1] keine Angabe,[6] konfessionslos,[6] konfessionslos,[2] (II) Lower Managerial and Professional Workers,15.0,"[422] Freiberuf.,Akademiker 1-9 MA; seit 2000",17.0,1,2005.0,1,4,1,9,-1.0225732545981345,-0.2594030460355856
5599,5599,20143402,2014346.0,2014346,2010.0,[1] Taeglich,[5] Nie,[1] Taeglich,[4] Seltener,[4] Seltener,[4] Seltener,[3] Jeden Monat,[4] Seltener,[4] Seltener,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[4] Seltener,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[1] sehr gut,163.0,1993.0,[1] Grosstadt,1,7,1,[2] 2 auf Skala 1-7,[4] 4 auf Skala 1-7,[6] 6 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1993.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[3] Niedersachsen,-2.0,[2] Realschule,[3] Fachoberschule,[20] beruflicheAusbildung,[24] Gewerbl.o.Lw.Lehre,[6] konfessionslos,[-1] keine Angabe,[3] (IIIa) Routine Clerical Work,0.0,[530] mit qualifizierter Taetigkeit,17.0,1,2003.0,1,1,7,9,-1.0225732545981345,-2.3941441305102553
5602,5602,20143702,2014370.0,2014370,2015.0,[1] Taeglich,[3] Jeden Monat,[1] Taeglich,[5] Nie,[2] Jede Woche,[3] Jeden Monat,[5] Nie,[1] Taeglich,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] bei Schuelerzeitung,[1] in Theatergruppe/Tanzgruppe,[-2] trifft nicht zu,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[-1] keine Angabe,[3] zufriedenstellend,180.0,1998.0,[4] Auf dem Land,4,3,6,[3] 3 auf Skala 1-7,[3] 3 auf Skala 1-7,[2] 2 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1998.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[5] Nordrhein-Westfalen,,[2] Realschule,[2] Realschule,"[32] Hochsch.,Universit.",[24] Gewerbl.o.Lw.Lehre,[2] Evangelisch,[1] Katholisch,[1] (I) Higher Managerial and Professional Workers,6.0,[530] mit qualifizierter Taetigkeit,17.0,1,2008.0,1,5,2,11,-0.4232479094490505,-0.2594030460355856
5603,5603,20144003,2014400.0,2014400,2015.0,[1] Taeglich,[3] Jeden Monat,[1] Taeglich,[5] Nie,[2] Jede Woche,[4] Seltener,[5] Nie,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[3] Jeden Monat,[5] Nie,[5] Nie,[4] Seltener,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[2] Realschulempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,179.0,1998.0,[2] Mittelgrosse Stadt,6,2,4,[3] 3 auf Skala 1-7,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,"[7] 7 Trifft voll zu, (Skala 1-7)",[3] Nicht so stark,[10] 10 Zufrieden: Skala 0-Niedrig bis 10-Hoc,[1] maennlich,1998.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[2] direkter Migrationshintergrund,[5] Nordrhein-Westfalen,-2.0,[2] Realschule,[5] sonstiger Abschluss,[20] beruflicheAusbildung,[50] z.Zt. berufliche Ausbildung,[3] Andere christl. RG,[3] Andere christl. RG,[8] (VI) Skilled Manual Workers,15.0,[120] gewerbl. - techn. Auszubildende,17.0,1,2008.0,1,6,4,16,1.0750654534236592,1.1637576769475273
5607,5607,20145902,2014591.0,2014591,2012.0,[2] Jede Woche,[5] Nie,[1] Taeglich,[3] Jeden Monat,[1] Taeglich,[4] Seltener,[5] Nie,[1] Taeglich,[1] Taeglich,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[3] Jeden Monat,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,161.0,1995.0,[3] Kleinstadt,4,1,4,[2] 2 auf Skala 1-7,"[7] 7 Trifft voll zu, (Skala 1-7)",[2] 2 auf Skala 1-7,"[7] 7 Trifft voll zu, (Skala 1-7)",[2] Stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1995.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[10] Saarland,-2.0,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.","[32] Hochsch.,Universit.",[1] Katholisch,[6] konfessionslos,[1] (I) Higher Managerial and Professional Workers,6.0,"[540] hochqualif.,Leitungsfunktion",17.0,1,2005.0,1,7,4,15,0.7754027808491173,-0.2594030460355856
5609,5609,20146502,2014656.0,2014656,2017.0,[1] Taeglich,[2] Jede Woche,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[4] Seltener,[1] Taeglich,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[1] Ja,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[2] gut,177.0,2000.0,[1] Grosstadt,5,2,5,[4] 4 auf Skala 1-7,"[7] 7 Trifft voll zu, (Skala 1-7)",[3] 3 auf Skala 1-7,[4] 4 auf Skala 1-7,[2] Stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,2000.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[5] Nordrhein-Westfalen,,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.","[30] FHS,Ingeniuerschule",[6] konfessionslos,[1] Katholisch,[2] (II) Lower Managerial and Professional Workers,0.0,[530] mit qualifizierter Taetigkeit,17.0,1,2010.0,1,6,3,14,0.47574010827457536,0.4521773154559709
5610,5610,20147102,2014710.0,2014710,2010.0,[2] Jede Woche,[2] Jede Woche,[1] Taeglich,[5] Nie,[1] Taeglich,[4] Seltener,[2] Jede Woche,[3] Jeden Monat,[2] Jede Woche,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[4] Seltener,[4] Seltener,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Chor/Orchester,[1] in freiwilliger AG,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,175.0,1993.0,[2] Mittelgrosse Stadt,5,3,4,[3] 3 auf Skala 1-7,[2] 2 auf Skala 1-7,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1993.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[8] Baden-Wuerttemberg,-2.0,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.","[32] Hochsch.,Universit.",[2] Evangelisch,[-1] keine Angabe,[1] (I) Higher Managerial and Professional Workers,11.0,"[540] hochqualif.,Leitungsfunktion",17.0,1,2003.0,0,5,4,14,0.47574010827457536,0.4521773154559709
5611,5611,20147502,2014753.0,2014753,2016.0,[2] Jede Woche,[2] Jede Woche,[1] Taeglich,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[4] Seltener,[3] Jeden Monat,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[2] Die meisten,[2] gut,156.0,1999.0,[1] Grosstadt,5,1,2,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1999.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[3] indirekter Migrationshintergrund,[3] Niedersachsen,2010.0,[1] Hauptschule,[2] Realschule,[20] beruflicheAusbildung,"[25] Kaufm.L.,Bfs,Handels",[3] Andere christl. RG,[6] konfessionslos,[2] (II) Lower Managerial and Professional Workers,3.0,[530] mit qualifizierter Taetigkeit,17.0,1,2010.0,1,7,6,18,1.674390798572743,0.4521773154559709
5613,5613,20147902,2014796.0,2014796,2010.0,[3] Jeden Monat,[4] Seltener,[1] Taeglich,[2] Jede Woche,[3] Jeden Monat,[4] Seltener,[5] Nie,[1] Taeglich,[2] Jede Woche,[5] Nie,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[1] Ja,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[1] in Chor/Orchester,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,162.0,1993.0,[1] Grosstadt,3,2,6,[2] 2 auf Skala 1-7,[3] 3 auf Skala 1-7,[4] 4 auf Skala 1-7,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[1] Sehr stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1993.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[5] Nordrhein-Westfalen,,[4] Abitur,[4] Abitur,"[30] FHS,Ingeniuerschule","[32] Hochsch.,Universit.",[-1] keine Angabe,[2] Evangelisch,[2] (II) Lower Managerial and Professional Workers,13.0,[-1] keine Angabe,17.0,1,2003.0,0,6,2,11,-0.4232479094490505,-0.9709834075271422
5614,5614,20148304,2014834.0,2014834,2016.0,[1] Taeglich,[3] Jeden Monat,[1] Taeglich,[1] Taeglich,[4] Seltener,[4] Seltener,[5] Nie,[4] Seltener,[1] Taeglich,[5] Nie,[4] Seltener,[4] Seltener,[5] Nie,[2] Jede Woche,[5] Nie,[1] Ja,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[-2] trifft nicht zu,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[2] gut,171.0,1999.0,[2] Mittelgrosse Stadt,2,6,7,[4] 4 auf Skala 1-7,"[7] 7 Trifft voll zu, (Skala 1-7)",[6] 6 auf Skala 1-7,[2] 2 auf Skala 1-7,[4] Ueberhaupt nicht,[5] 5 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1999.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[3] Niedersachsen,-2.0,[2] Realschule,[2] Realschule,[20] beruflicheAusbildung,"[27] FS,Techn.-o.Meisters",[1] Katholisch,[6] konfessionslos,[8] (VI) Skilled Manual Workers,4.0,[530] mit qualifizierter Taetigkeit,17.0,1,2009.0,1,2,1,5,-2.2212239448963023,-1.6825637690186985
5615,5615,20148603,2014869.0,2014869,2016.0,[1] Taeglich,[2] Jede Woche,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[4] Seltener,[5] Nie,[1] Taeglich,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[3] Jeden Monat,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Chor/Orchester,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,166.0,1999.0,[1] Grosstadt,6,2,3,[4] 4 auf Skala 1-7,[2] 2 auf Skala 1-7,[6] 6 auf Skala 1-7,[4] 4 auf Skala 1-7,[3] Nicht so stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1999.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[5] Nordrhein-Westfalen,-2.0,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.","[25] Kaufm.L.,Bfs,Handels",[1] Katholisch,[1] Katholisch,[1] (I) Higher Managerial and Professional Workers,15.0,[530] mit qualifizierter Taetigkeit,17.0,1,2009.0,1,6,5,17,1.3747281259982012,1.1637576769475273
5618,5618,20149102,2014915.0,2014915,2012.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[5] Nie,[1] Taeglich,[4] Seltener,[4] Seltener,[2] Jede Woche,[1] Taeglich,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[2] gut,176.0,1995.0,[3] Kleinstadt,5,3,6,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[6] 6 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1995.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[8] Baden-Wuerttemberg,,[4] Abitur,[2] Realschule,"[32] Hochsch.,Universit.",[40] Sonstige Ausbildung,[1] Katholisch,[2] Evangelisch,[2] (II) Lower Managerial and Professional Workers,15.0,[530] mit qualifizierter Taetigkeit,17.0,1,2005.0,1,5,2,12,-0.12358523687450856,0.4521773154559709
5620,5620,20149802,2014982.0,2014982,2018.0,[1] Taeglich,[5] Nie,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[5] Nie,[3] Jeden Monat,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[5] Nie,[4] Seltener,[5] Nie,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[1] in Chor/Orchester,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,186.0,2001.0,[1] Grosstadt,5,1,2,[2] 2 auf Skala 1-7,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[2] 2 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,2001.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[11] Berlin,-2.0,[2] Realschule,[4] Abitur,[40] Sonstige Ausbildung,"[32] Hochsch.,Universit.",[6] konfessionslos,[6] konfessionslos,[2] (II) Lower Managerial and Professional Workers,0.0,[610] Einfacher Dienst,17.0,1,2013.0,1,7,6,18,1.674390798572743,0.4521773154559709
5621,5621,20149902,2014990.0,2014990,2018.0,[2] Jede Woche,[1] Taeglich,[1] Taeglich,[4] Seltener,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[4] Seltener,[1] Taeglich,[4] Seltener,[1] Taeglich,[1] Taeglich,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,179.0,2001.0,[3] Kleinstadt,5,3,4,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[2] Stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,2001.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[12] Brandenburg,-2.0,[2] Realschule,[4] Abitur,[20] beruflicheAusbildung,"[32] Hochsch.,Universit.",[6] konfessionslos,[6] konfessionslos,[-1] keine Angabe,1.0,"[540] hochqualif.,Leitungsfunktion",17.0,1,2013.0,1,5,4,14,0.47574010827457536,0.4521773154559709
5623,5623,20150302,2015032.0,2015032,2014.0,[2] Jede Woche,[4] Seltener,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[3] Jeden Monat,[5] Nie,[2] Jede Woche,[4] Seltener,[2] Jede Woche,[2] Jede Woche,[1] Taeglich,[4] Seltener,[2] Jede Woche,[2] Jede Woche,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[1] bei Schuelerzeitung,[-2] trifft nicht zu,[1] in Chor/Orchester,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[3] zufriedenstellend,160.0,1997.0,[2] Mittelgrosse Stadt,5,2,6,[2] 2 auf Skala 1-7,[6] 6 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] 3 auf Skala 1-7,[2] Stark,[10] 10 Zufrieden: Skala 0-Niedrig bis 10-Hoc,[2] weiblich,1997.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[3] indirekter Migrationshintergrund,[5] Nordrhein-Westfalen,-2.0,[1] Hauptschule,[3] Fachoberschule,[0] Weiss nicht,[24] Gewerbl.o.Lw.Lehre,[5] sonstige RG,[2] Evangelisch,[9] (VIIa) Semi- and Unskilled Manual Workers,1.0,[530] mit qualifizierter Taetigkeit,17.0,1,2007.0,1,6,2,13,0.1760774357000334,0.4521773154559709
5629,5629,20151502,2015156.0,2015156,2018.0,[1] Taeglich,[1] Taeglich,[1] Taeglich,[5] Nie,[4] Seltener,[5] Nie,[5] Nie,[4] Seltener,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,170.0,2001.0,[4] Auf dem Land,3,4,3,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[-1] keine Angabe,[-1] keine Angabe,[4] Ueberhaupt nicht,[5] 5 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,2001.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[3] indirekter Migrationshintergrund,[5] Nordrhein-Westfalen,,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.",[24] Gewerbl.o.Lw.Lehre,[4] Islamische RG,[6] konfessionslos,[-1] keine Angabe,0.0,[530] mit qualifizierter Taetigkeit,17.0,1,2011.0,1,4,5,12,-0.12358523687450856,-0.9709834075271422
5630,5630,20151702,2015172.0,2015172,2018.0,[1] Taeglich,[1] Taeglich,[1] Taeglich,[5] Nie,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[4] Seltener,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[5] Nie,[2] Nein,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[2] gut,178.0,2001.0,[1] Grosstadt,5,3,4,[4] 4 auf Skala 1-7,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[2] Stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,2001.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[5] Nordrhein-Westfalen,2012.0,[4] Abitur,[4] Abitur,[20] beruflicheAusbildung,"[25] Kaufm.L.,Bfs,Handels",[6] konfessionslos,[1] Katholisch,[-1] keine Angabe,6.0,[530] mit qualifizierter Taetigkeit,17.0,1,2012.0,1,5,4,14,0.47574010827457536,0.4521773154559709
5632,5632,20152402,2015245.0,2015245,2018.0,[2] Jede Woche,[2] Jede Woche,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[3] Jeden Monat,[2] Jede Woche,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Chor/Orchester,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[1] sehr gut,172.0,2001.0,[1] Grosstadt,6,2,6,[4] 4 auf Skala 1-7,[2] 2 auf Skala 1-7,[4] 4 auf Skala 1-7,[6] 6 auf Skala 1-7,[2] Stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,2001.0,"[13] L2 2010 Familientypen(NiedrigEinkommen,AlleinErziehend,MehrKindFamilien)",[1] kein Migrationshintergrund,[6] Hessen,-2.0,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.","[32] Hochsch.,Universit.",[2] Evangelisch,[6] konfessionslos,[-1] keine Angabe,15.0,"[421] Freiberuf.,Akademiker o.Mitarb;seit 2000",17.0,1,2011.0,1,6,2,14,0.47574010827457536,1.1637576769475273
